DecisionID,Domain,DecisionType,EntityType,Entity,Product,Country,ProductCategory,Warehouse,BusinessImpact,RevenueOpportunity,CostReduction,InventorySavings,RetentionGain,ProfitImprovement,ForecastRisk,InventoryRisk,CustomerRisk,RevenueRisk,SupplierRisk,OperationalRisk,UrgencyScore,Reasoning,SuggestedAction,SourcePhase,SourceArtifact,BusinessRiskScore,RiskLevel,ImpactScore,FinancialImpact,ImplementationCost,ExpectedROI,ModelConfidence,HistoricalAccuracy,BusinessConfidence,RecommendationReliability,Confidence,PriorityScore,PriorityBand,TimeSensitivity
DI-00001,Customer,Upsell Premium Products,Customer segment,Champions,,,,,High,30726.462400000004,0.0,0.0,15363.231200000002,11522.4234,0.0,0.0,20.0,40.0,0.0,30.0,80.0,Customer intelligence identifies high predicted CLV and premium monetization potential.,"Offer premium assortment, bundles, and loyalty-tier incentives.",Phase 2 - Customer Intelligence,customer_segments.csv,14.4,Low,100.0,57612.12,5038.97,1043.33,100.0,100.0,100.0,100.0,100.0,75.46,P1,This Week
DI-00002,Customer,Upsell Premium Products,Customer segment,Champions,,,,,High,21858.892000000003,0.0,0.0,10929.446000000002,8197.0845,0.0,0.0,20.0,27.713351403950618,0.0,30.0,63.1058581804321,Customer intelligence identifies high predicted CLV and premium monetization potential.,"Offer premium assortment, bundles, and loyalty-tier incentives.",Phase 2 - Customer Intelligence,customer_segments.csv,12.19,Low,71.14028200005217,40985.42,3681.21,1013.37,100.0,100.0,100.0,100.0,100.0,61.73,P2,This Month
DI-00003,Churn,Retain High Value Customer,Customer,13902,,Denmark,,,Medium,0.0,0.0,0.0,12253.228722946411,3196.7920000000004,0.0,0.0,73.00907685518072,100.0,0.0,35.0,82.45589995586747,Customer has elevated churn probability and meaningful lifetime value at risk.,Send Email Campaign,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,35.34,Low,26.817311231500845,15450.02,2274.74,579.2,100.0,100.0,100.0,100.0,100.0,56.09,P2,This Month
DI-00004,Customer,Upsell Premium Products,Customer segment,Champions,,,,,High,17296.3768,0.0,0.0,8648.1884,6486.141299999999,0.0,0.0,20.0,21.391662548056797,0.0,30.0,54.413536003578095,Customer intelligence identifies high predicted CLV and premium monetization potential.,"Offer premium assortment, bundles, and loyalty-tier incentives.",Phase 2 - Customer Intelligence,customer_segments.csv,11.05,Low,56.291468164587656,32430.71,2982.58,987.34,100.0,100.0,100.0,100.0,100.0,54.67,P2,This Month
DI-00005,Churn,Retain High Value Customer,Customer,12482,,Sweden,,,Medium,0.0,0.0,0.0,8140.052531845577,2327.5584,0.0,0.0,66.61427685518072,71.0370546103015,0.0,35.0,68.16224906947299,Customer has elevated churn probability and meaningful lifetime value at risk.,Send Email Campaign,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,28.98,Low,18.16911350757268,10467.61,1710.6,511.93,100.0,100.0,100.0,100.0,100.0,48.77,P3,Monitor
DI-00006,Customer,Upsell Premium Products,Customer segment,Champions,,,,,High,13386.6672,0.0,0.0,6693.3336,5020.0001999999995,0.0,0.0,20.0,15.974482215572403,0.0,30.0,46.96491304641205,Customer intelligence identifies high predicted CLV and premium monetization potential.,"Offer premium assortment, bundles, and loyalty-tier incentives.",Phase 2 - Customer Intelligence,customer_segments.csv,10.08,Low,43.567225623734664,25100.0,2384.0,952.85,100.0,100.0,100.0,100.0,100.0,48.63,P3,Monitor
DI-00007,Customer,Upsell Premium Products,Customer segment,Champions,,,,,Medium,11567.000800000002,0.0,0.0,5783.500400000001,4337.6253,0.0,0.0,20.0,13.453205179098218,0.0,30.0,43.49815712126005,Customer intelligence identifies high predicted CLV and premium monetization potential.,"Offer premium assortment, bundles, and loyalty-tier incentives.",Phase 2 - Customer Intelligence,customer_segments.csv,9.62,Low,37.64507820464226,21688.13,2105.3,930.17,100.0,100.0,100.0,100.0,100.0,45.81,P3,Monitor
DI-00008,Inventory,Reduce Overstock,Inventory series,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,Medium,7935.527071328807,472.4889020270348,787.4815033783914,0.0,787.4815033783914,0.0,58.50576725868083,0.0,50.0,61.79863093341662,57.1034603552085,56.92817199227446,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,36.07,Low,17.327915549627562,9982.98,1499.51,565.75,78.68537442584928,78.68537442584928,97.67256706518276,85.52,85.52,44.75,P3,Monitor
DI-00009,Inventory,Supplier Escalation,Inventory series,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,Medium,7935.527071328807,118.1222255067587,787.4815033783914,0.0,787.4815033783914,0.0,58.50576725868083,0.0,50.0,61.79863093341662,57.1034603552085,56.92817199227446,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,36.07,Low,16.712825018376513,9628.61,1735.97,454.65,78.68537442584928,78.68537442584928,97.59875620143264,85.49,85.49,44.53,P3,Monitor
DI-00010,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.822184601846676,30.954716789038216,206.3647785935881,0.0,206.3647785935881,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.8166796901041862,470.51,1041.52,-54.82,78.68537442584928,78.68537442584928,93.82119391839062,84.13,84.13,44.31,P3,Monitor
