CustomerID,CustomerHealthScore,CustomerHealthScore_Heuristic,HealthBand,CustomerActivityScore,CustomerEngagementScore,RiskCategory
18102,99.07,99.49,VIP,99.57,90.82,Low
14646,95.98,94.23,VIP,94.96,90.77,Low
14156,97.09,96.18,VIP,96.65,90.94,Low
14911,99.16,99.56,VIP,99.61,91.23,Low
13694,96.35,94.91,VIP,95.54,90.92,Low
17511,97.88,97.55,VIP,97.88,89.09,Low
15061,98.18,97.86,VIP,98.11,90.78,Low
16684,94.13,91.49,VIP,92.59,88.75,Low
16754,96.37,95.19,VIP,95.81,87.42,Low
17949,97.01,96.09,VIP,96.55,90.67,Low
13089,97.76,97.27,VIP,97.57,90.98,Low
15311,99.12,99.5,VIP,99.52,91.06,Low
17450,94.1,91.7,VIP,93.46,78.67,Low
17850,96.8,95.6,VIP,96.1,90.61,Low
12931,93.87,91.01,VIP,92.11,89.75,Low
13093,96.28,94.74,VIP,95.36,89.9,Low
16029,96.62,95.41,VIP,95.94,89.83,Low
15838,97.16,96.49,VIP,97.04,82.92,Low
14298,95.41,93.3,VIP,94.11,89.75,Low
13798,96.63,95.43,VIP,95.94,90.33,Low
13902,36.56,53.33,High Risk,60.31,71.52,High
15769,96.51,95.32,VIP,95.92,84.91,Low
13081,96.37,95.16,VIP,95.8,86.57,Low
13777,98.39,98.27,VIP,98.43,89.22,Low
17841,99.07,99.39,VIP,99.38,90.87,Low
16705,88.84,83.01,VIP,85.13,88.01,Low
16422,97.27,96.45,VIP,96.81,90.45,Low
14680,96.88,95.88,VIP,96.32,89.95,Low
13881,95.06,92.89,VIP,93.75,88.56,Low
17940,77.97,66.29,Healthy,71.37,63.69,Low
17389,95.48,93.7,VIP,94.43,88.11,Low
12482,44.14,65.47,Moderate,69.72,89.4,High
14031,98.74,98.93,VIP,99.0,88.62,Low
13408,96.9,95.88,VIP,96.28,90.1,Low
14063,81.28,70.89,VIP,74.91,77.65,Low
16779,98.26,98.17,VIP,98.3,89.14,Low
12748,99.09,99.39,VIP,99.32,91.13,Low
18251,80.19,69.1,VIP,73.44,74.8,Low
13802,94.85,92.76,VIP,93.68,85.68,Low
12709,97.87,97.64,VIP,97.89,86.9,Low
17677,98.17,98.06,VIP,98.2,88.89,Low
17920,97.5,96.87,VIP,97.13,89.75,Low
12471,95.76,93.97,VIP,94.58,90.16,Low
16013,96.85,95.75,VIP,96.14,88.91,Low
15039,97.53,96.96,VIP,97.18,90.16,Low
17381,96.14,94.7,VIP,95.49,83.36,Low
12415,91.34,87.27,VIP,89.45,75.21,Low
14258,89.3,83.6,VIP,85.63,84.53,Low
12921,98.26,98.2,VIP,98.26,89.55,Low
14527,98.92,99.23,VIP,99.14,90.61,Low
14606,98.46,98.43,VIP,98.43,90.94,Low
13767,97.0,96.19,VIP,96.5,88.85,Low
17675,97.82,97.47,VIP,97.61,89.67,Low
15856,98.63,98.78,VIP,98.79,88.25,Low
18008,85.8,78.32,VIP,81.03,84.91,Low
16210,96.9,96.12,VIP,96.51,86.48,Low
12681,97.61,97.11,VIP,97.32,88.03,Low
13078,98.18,98.07,VIP,98.12,88.53,Low
15523,90.6,85.95,VIP,87.67,83.94,Low
12678,92.57,89.32,VIP,90.93,76.77,Low
17404,84.53,76.48,VIP,79.8,73.15,Low
17865,94.95,92.87,VIP,93.58,88.11,Low
13564,97.42,96.72,VIP,96.92,89.47,Low
14062,94.06,91.6,VIP,92.7,80.54,Low
15768,46.84,70.77,Moderate,74.22,89.53,High
17428,96.85,95.94,VIP,96.32,86.06,Low
17448,50.78,69.73,Moderate,73.27,90.72,High
15808,96.4,95.3,VIP,95.75,86.02,Low
13001,88.01,81.62,VIP,83.75,86.95,Low
12647,97.63,97.16,VIP,97.29,88.92,Low
17377,98.85,99.11,VIP,98.96,90.46,Low
14895,91.95,88.2,VIP,89.53,86.33,Low
15760,26.96,39.96,High Risk,50.06,50.22,Critical
12939,92.56,89.24,VIP,90.6,80.58,Low
14088,77.36,65.32,Healthy,71.47,59.11,Low
16019,92.67,89.25,VIP,90.43,86.35,Low
12454,81.96,72.18,VIP,76.93,60.5,Low
14277,81.97,72.95,VIP,77.0,66.21,Low
15513,98.14,98.1,VIP,98.16,86.52,Low
15498,97.66,97.37,VIP,97.5,86.81,Low
14667,98.63,98.8,VIP,98.68,89.09,Low
12409,77.82,66.18,Healthy,71.67,62.27,Low
12357,77.2,64.32,Healthy,71.33,56.59,Low
17243,96.98,96.11,VIP,96.29,90.0,Low
13687,62.3,41.36,Healthy,52.52,32.98,Medium
12682,98.39,98.5,VIP,98.43,87.74,Low
16525,97.88,97.63,VIP,97.66,87.78,Low
17589,91.31,86.97,VIP,88.46,85.62,Low
15640,95.41,93.71,VIP,94.33,84.14,Low
16746,92.26,88.62,VIP,89.76,88.19,Low
13340,80.05,69.6,VIP,74.26,63.27,Low
12949,91.77,87.95,VIP,89.31,83.63,Low
12472,95.73,94.23,VIP,94.84,81.92,Low
13319,98.61,98.79,VIP,98.61,89.39,Low
14134,91.89,88.14,VIP,89.44,84.58,Low
12621,97.84,97.73,VIP,97.81,84.85,Low
17044,93.6,91.02,VIP,92.11,78.67,Low
14543,93.31,90.19,VIP,91.1,87.96,Low
15615,90.78,85.91,VIP,87.35,88.07,Low
12918,21.62,29.67,High Risk,42.24,32.98,Critical
18052,23.56,32.7,High Risk,44.89,32.98,Critical
16553,89.02,83.52,VIP,85.27,88.25,Low
16652,85.72,78.24,VIP,81.06,79.36,Low
18087,92.97,89.99,VIP,91.02,84.26,Low
14299,98.14,98.12,VIP,98.06,86.16,Low
16191,93.14,90.35,VIP,91.49,79.38,Low
17416,89.58,84.15,VIP,85.9,85.03,Low
14028,34.69,49.92,High Risk,57.86,58.18,High
13027,90.93,86.57,VIP,88.07,80.07,Low
17716,88.43,82.24,VIP,84.27,82.8,Low
17706,97.38,96.93,VIP,97.03,86.07,Low
17340,95.03,93.21,VIP,94.23,74.06,Low
18172,91.66,87.33,VIP,88.51,89.27,Low
15251,84.76,76.63,VIP,79.52,80.74,Low
13225,83.32,74.26,VIP,77.53,75.01,Low
17133,41.56,61.24,Moderate,66.85,62.49,High
15093,95.57,94.02,VIP,94.44,86.16,Low
14045,94.51,92.38,VIP,93.12,82.47,Low
13952,91.93,88.33,VIP,89.62,80.74,Low
14091,26.85,38.84,High Risk,48.89,44.35,Critical
14952,89.05,83.43,VIP,85.11,87.64,Low
12714,87.19,80.99,VIP,83.65,69.81,Low
16843,85.15,77.09,VIP,79.58,87.27,Low
14961,92.58,89.39,VIP,90.47,81.93,Low
15291,95.57,93.86,VIP,94.2,88.56,Low
14040,91.6,87.42,VIP,88.57,88.12,Low
17139,89.78,84.74,VIP,86.39,83.95,Low
12980,90.34,85.65,VIP,87.23,79.25,Low
12540,93.49,90.66,VIP,91.49,84.06,Low
15032,94.0,91.89,VIP,93.16,70.17,Low
16549,88.99,83.23,VIP,84.88,89.14,Low
15358,98.2,98.21,VIP,98.0,87.22,Low
15738,95.98,94.51,VIP,94.73,88.21,Low
14160,39.27,57.51,High Risk,63.06,79.62,High
16133,94.28,91.84,VIP,92.4,88.75,Low
15044,93.32,90.28,VIP,91.09,86.22,Low
14739,97.01,96.37,VIP,96.4,86.3,Low
16126,91.94,88.52,VIP,89.75,76.83,Low
13178,87.06,80.38,VIP,82.7,78.5,Low
13206,87.54,81.18,VIP,83.22,83.33,Low
16656,85.01,77.05,VIP,79.54,81.15,Low
15601,95.35,93.75,VIP,94.12,84.32,Low
15078,96.82,96.01,VIP,96.02,87.2,Low
14849,95.39,93.51,VIP,93.84,87.69,Low
13013,95.88,94.46,VIP,94.7,86.21,Low
15382,90.09,85.82,VIP,87.99,65.0,Low
16782,98.27,98.35,VIP,98.03,88.45,Low
12437,89.16,83.72,VIP,85.26,87.22,Low
17581,95.55,94.1,VIP,94.34,87.14,Low
13680,44.31,66.2,Moderate,70.45,75.09,High
14828,88.93,83.65,VIP,85.52,78.05,Low
15005,97.79,97.56,VIP,97.31,88.88,Low
13468,97.02,96.33,VIP,96.21,89.57,Low
16713,97.34,96.89,VIP,96.79,86.19,Low
17858,96.26,95.03,VIP,95.15,86.63,Low
13162,91.9,88.16,VIP,89.31,81.79,Low
12668,89.3,84.1,VIP,86.43,66.72,Low
