accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc,log_loss,brier_score,model_name,status,threshold,train_rows,validation_rows,best_params,reason
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000500029089e-06,0.0,Decision Tree,evaluated,1.0,2586.0,863.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000500029089e-06,0.0,Decision Tree,tuned_randomized,1.0,2586.0,863.0,"{""classifier__min_samples_leaf"": 8, ""classifier__max_depth"": 3, ""classifier__class_weight"": ""balanced""}",
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000500029089e-06,0.0,Decision Tree,tuned_grid,1.0,2586.0,863.0,"{""classifier__class_weight"": null, ""classifier__max_depth"": 4, ""classifier__min_samples_leaf"": 1}",
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00106955266265768,0.00023343114709852608,Random Forest,evaluated,0.988,2586.0,863.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009784662804747024,0.000222090253637183,Random Forest,tuned_randomized,0.995,2586.0,863.0,"{""classifier__n_estimators"": 300, ""classifier__min_samples_leaf"": 2, ""classifier__max_depth"": 14, ""classifier__class_weight"": null}",
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000947416341428631,0.00022538383545770574,Random Forest,tuned_grid,0.9975,2586.0,863.0,"{""classifier__class_weight"": null, ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003910191984945062,0.0005638998115289738,Extra Trees,evaluated,0.9277432941468999,2586.0,863.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004530801942620578,0.0006140348371697439,Extra Trees,tuned_randomized,0.9355485854015266,2586.0,863.0,"{""classifier__n_estimators"": 300, ""classifier__min_samples_leaf"": 2, ""classifier__max_depth"": 14, ""classifier__class_weight"": null}",
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002897349864546977,0.0004335457705677868,Extra Trees,tuned_grid,0.94,2586.0,863.0,"{""classifier__class_weight"": null, ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.002663979413665e-05,6.123459512821671e-10,Gradient Boosting,evaluated,0.9999714123146863,2586.0,863.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7472885541068646e-06,9.867684041223502e-12,Gradient Boosting,tuned_randomized,0.999997583072362,2586.0,863.0,"{""classifier__n_estimators"": 250, ""classifier__max_depth"": 2, ""classifier__learning_rate"": 0.05}",
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022232646757751995,0.0005428335864095099,Gradient Boosting,tuned_grid,0.9673236895869506,2586.0,863.0,"{""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",
