model_name,rows,mae,rmse,mape,smape,r2,series_key
Holt-Winters,216,83.77232553143975,141.71978391621346,67.74941425033539,53.43914943449053,0.1395127744622135,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Decision Tree,216,113.79857664485122,173.6462544480867,73.01171641461903,63.07952937220076,-0.4791741161320127,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Seasonal Naive,216,112.52222222222224,170.5881052876205,79.22541417506773,61.38278902784453,-0.5082536564779863,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Extra Trees,216,94.3881851851852,147.39288245523252,82.52141835116178,49.24044642939398,0.0531071702907938,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
AdaBoost,216,86.93992755133718,141.50722912512444,99.27373772392258,64.08336557957709,0.154641696580478,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Random Forest,216,91.8749954657688,143.81077195321225,141.9795355489257,77.3483560566989,0.1139268707271693,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
SARIMA,216,86.50836963091304,142.40777765906503,306.34801697225936,73.60444137938782,0.1334287248710447,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Gradient Boosting,216,94.98203442571292,146.48889807016977,777.7504538081681,75.95418953996337,0.0831311274812567,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
AdaBoost,216,93.52294004638776,143.02645126233105,803.5237804650274,74.88905692927035,0.1311059912387588,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
ElasticNet,216,120.9558019285054,168.38317449490796,973.9940079953072,97.05240251254357,-0.186675021981036,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Holt,216,100.68212113825024,161.41034780075145,1440.7629119204632,75.95053365941206,-0.1537649923081359,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Naive,216,107.52222222222224,163.84647601990272,1522.4857522922257,79.91239870060161,-0.1574408497532113,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Moving Average,216,102.95909078921034,158.0323010409211,1578.048837102082,75.96710741439506,-0.0776522361445839,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
MLP,216,103.80863696282708,153.52110928387015,1669.634203880638,75.18137270846175,-0.0345967006754416,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
ARIMA,216,103.35847749002347,155.990928195689,1879.8432292191449,74.14492139749164,-0.0555135306775126,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Exponential Smoothing,216,103.33673952796464,155.94265721635608,1880.316951571731,74.13012013159279,-0.0549963798978904,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
ElasticNet,216,190.9167883139988,241.3866653137177,1949.7977977522976,119.7895856917353,-2.192765063795658,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Ridge,216,190.86263720150487,241.4114767829861,1961.2147457333429,119.67319565363238,-2.184547978482259,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
MLP,216,109.43178410820953,155.25997283420628,1988.6154497417847,76.41938598116485,-0.0506341151203874,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Lasso,216,270.26323013856484,331.46978807536783,3560.648693836481,126.5324328501774,-6.853032306195826,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
Linear Regression,216,324.4322782413302,395.2256290750059,4422.387364515857,132.90137598876657,-11.472217868814964,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting
