model_name,configuration,series_key,status,reason,mae,rmse,mape,smape,r2,mase,parameters
Naive,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,173.68888888888887,361.4197829231366,1344.827832817188,110.78981541887963,-0.20636662862726882,0.7269085006716941,{}
Seasonal Naive,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,160.38888888888889,355.802896103442,285.7548154675196,83.94586244717458,-0.17200054524625452,0.6761086060013338,{}
Moving Average,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,167.85525025565605,362.9427944516622,1210.8180563713659,98.94025369704725,-0.16787276769095705,0.6946977993857897,{}
Exponential Smoothing,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,164.4151077708424,355.3309592545675,1720.3178912622363,89.13060268927948,-0.10820685557512692,0.6731577590950573,{}
Holt,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,166.37009935961532,356.5514389411259,1378.5522856583382,95.9404861169521,-0.11703122459696987,0.6814933046523374,{}
Holt-Winters,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,147.31074455911806,339.9932543256716,874.4687606629776,83.5663691843839,0.011259853026134933,0.5954024334436951,{}
ARIMA,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,163.4549791974279,353.3343952735365,1783.568701579533,87.95946431687678,-0.09225470616511866,0.6690821154606179,{}
SARIMA,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,158.48336155118486,350.5433134924194,1460.4676072567474,87.12716769115063,-0.06687557211646881,0.6495626628339145,{}
Linear Regression,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,243.03429204547865,411.32808668271474,1763.998701692477,140.09969135198182,-0.5917409730207969,1.0002484499896729,{}
Ridge,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,181.76973072602618,357.23529230296936,843.0290675066034,128.034204286032,-0.10486542223169897,0.764644298201541,{}
Lasso,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,186.78478491349043,360.6084014786888,725.1318989524434,131.8521096699507,-0.12120359162946755,0.772209838936773,{}
ElasticNet,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,182.11931399431577,357.17310342223846,839.5027352301421,128.55164602835382,-0.10507154111538408,0.7658258852260292,{}
Decision Tree,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,174.43640796842365,362.5023320997274,683.5370575131682,78.1106640513891,-0.15778171057033327,0.7201733972119765,{}
Random Forest,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,151.70385909411576,342.044717310969,975.3596070684467,86.64192613962605,-0.024910937116712623,0.6199401328474405,{}
Extra Trees,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,147.8505555555556,340.3319847587043,446.8023535055988,83.19444314328639,-0.012587327885808594,0.6149188043314741,{}
Gradient Boosting,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,153.26900388669233,334.92597126897425,1431.1292440069565,87.70317136127721,-0.013981268919772583,0.635753822725994,{}
AdaBoost,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,155.09126012833542,347.27958252499144,1299.6623114777774,86.97251925368114,-0.05102296587353535,0.6333447458897447,{}
MLP,default,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,evaluated,,181.50331808069805,348.72358884720194,2615.7348346926397,91.43488904489898,-0.06194879825613649,0.7269096920060846,{}
Naive,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,279.4222222222222,819.3955358324912,5935.068360261991,165.4364540754236,-0.05825119332543164,0.7614225754189663,{}
Seasonal Naive,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,887.611111111111,1966.594420134869,27161.430327891652,117.39274434880025,-22.777650822813538,2.6848531237520668,{}
Moving Average,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,630.4442664857451,932.2574996275774,27694.315496859563,170.87242954907194,-0.6956125619405921,1.624222022530039,{}
Exponential Smoothing,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,285.4222514779104,805.8566342808889,7381.746012541024,155.87723504048913,-0.008261022734422863,0.7278353519768707,{}
Holt,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,1066.6736744318587,1220.145064179342,57143.942582885626,176.84506184937644,-2.1382804229800603,2.7155034984617448,{}
Holt-Winters,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,428.6944421963417,829.314547105109,16072.764447053349,167.4008978606584,-0.1488597582580565,1.1199983798570312,{}
ARIMA,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,381.53580244842584,805.6973436002296,14281.011658022573,162.89108289465457,-0.00947066509202362,0.929432041443128,{}
SARIMA,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,415.7740600752051,824.2828855613867,15999.578526340249,165.18821856627483,-0.10031601543019424,1.055823557302591,{}
Linear Regression,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,2117.664881357398,4085.0345551495616,94904.93165438682,139.7426056071187,-45.424548197328214,4.821202074916739,{}
Ridge,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,393.3745459636454,912.1142377741617,13434.450064308972,126.23332935037593,-0.3588873081353729,0.9324949735060667,{}
Lasso,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,1137.6151872192158,2007.8862705940712,51188.168790452524,139.2800376300692,-7.309723985103602,2.6485946488449827,{}
ElasticNet,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,393.27911824421204,912.6243413410695,13412.5682561185,126.10943375169747,-0.3586988759080329,0.9311589076681089,{}
Decision Tree,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,853.066596159526,1597.4108855177565,31503.130715697615,158.6906975524253,-2.9848182213544985,1.835282125571372,{}
Random Forest,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,960.3511492768957,1216.8896572191131,49709.913576775616,173.3883841373115,-1.684925487427062,2.3693998266244196,{}
Extra Trees,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,796.5024814814815,1434.5013696600784,32193.84826507137,169.25741129697607,-2.9404862290557623,1.8987513378483225,{}
Gradient Boosting,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,611.2844487392887,1079.2344602052378,24707.008923509315,160.64046576906856,-0.9010407828039586,1.4438263752630904,{}
AdaBoost,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,278.4518491303248,814.8520814471354,6157.870158086383,154.13980167492252,-0.03227044842436596,0.7080051922669889,{}
MLP,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,310.5382991758229,796.3569452678163,8952.707058219576,156.41982126442568,0.0016278779707102158,0.7518450955669099,{}
Naive,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,60.077777777777776,74.12725700190826,2286.6771787407156,68.27312424228504,-1.3896450049270876,1.1747132518126242,{}
Seasonal Naive,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,56.400000000000006,87.39429708587942,1914.985464858497,83.88959087103753,-13.264154456842853,2.872833874771928,{}
Moving Average,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,40.21298584270645,48.2590494446807,1863.0365471064276,160.73369535589484,-2.4243297929079106,2.850221711374417,{}
Exponential Smoothing,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,75.310472948287,78.84303040004416,5204.015531083071,157.5817568586344,-19.798828047921287,7.157830136673476,{}
