Date,HorizonDays,SeriesKey,Product,Country,ProductCategory,Warehouse,SupplierLane,ABCClass,XYZClass,ABCXYZMatrix,FastMovingItem,SlowMovingItem,DeadStockCandidate,SeasonalProduct,CriticalProduct,HighValueItem,LowValueItem,CurrentStock,EstimatedStock,ForecastDemand,ForecastRevenue,Lower95Demand,Upper95Demand,DailyDemand,WeeklyDemand,MonthlyDemand,AnnualDemand,LeadTime,SupplierLeadTime,HoldingCost,OrderingCost,InventoryCarryingCost,StockValue,SafetyStock,ReorderPoint,ReorderQuantity,EconomicOrderQuantity,InventoryTurnover,DaysOfInventory,ServiceLevel,StockCoverageDays,DemandVariability,LeadTimeVariability,DemandBufferUnits,OptimizedLeadTime,WarehouseAllocationScore,StockoutRiskScore,OverstockRiskScore,DemandSpikeRiskScore,SupplierDelayRiskScore,InventoryAgeRiskScore,StockoutRiskLevel,OverstockRiskLevel,DemandSpikeRiskLevel,SupplierDelayRiskLevel,InventoryAgeRiskLevel,InventoryRiskScore,InventoryRiskLevel,InventoryHealthScore,StockoutCost,TotalInventoryCost,OptimizedInventoryCost,InventorySavings,PotentialRevenueLoss,ExpectedProfitImprovement,UnmetDemandUnits,InboundReceiptUnits,PendingInboundUnits,ReorderToday,HighRiskFlag,PredictedHighRiskProbability,PredictedHighRiskFlag
2010-12-10,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,17401.450707143827,17177.46547429717,223.98523284665885,354.6627580841074,0.0,961.4855415767262,307.2,741.0,9216.0,112128.0,6.0,10.0,10.656104181087102,0.0,10.79505424795293,17679.445573167235,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,56.645347353983816,0.9236783228473672,55.91622875747777,389.9167692130979,3.973150791122216,737.5003087300673,8.808054762663335,56.920586230862455,0.0,24.25828612772836,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,31.842590206781068,Low,100.0,0.0,10.656104181087102,10.016737930221876,0.6393662508652262,0.0,0.6393662508652262,0.0,0.0,0.0,False,0,0.0,0
2010-12-11,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,17177.46547429717,17078.01219071628,99.45328358088987,157.47634523507574,0.0,836.9535923109572,307.2,741.0,9216.0,112128.0,6.0,10.0,10.59440796911829,0.0,10.656104181087102,17577.085948764437,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,55.91622875747777,0.9236783228473672,55.59248759998789,389.9167692130979,3.973150791122216,737.5003087300673,8.808054762663335,57.297974063902814,0.0,23.538861333306418,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,31.68431675200824,Low,100.0,0.0,10.59440796911829,9.958743490971193,0.6356644781470973,0.0,0.6356644781470973,0.0,0.0,0.0,False,0,0.0,0
2010-12-12,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,17078.01219071628,16899.928491903578,178.08369881270045,281.98133862677975,0.0,915.5840075427676,307.2,741.0,9216.0,112128.0,6.0,10.0,10.483933088505607,0.0,10.59440796911829,17393.79807865703,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,55.59248759998789,0.9236783228473672,55.012788059581965,389.9167692130979,3.973150791122216,737.5003087300672,8.808054762663335,58.00086593089875,0.0,22.250640132404357,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,31.400908087809785,Low,100.0,0.0,10.483933088505607,9.85489710319527,0.6290359853103364,0.0,0.6290359853103364,0.0,0.0,0.0,False,0,0.0,0
2010-12-13,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,16899.928491903578,16705.09435455432,194.83413734925796,308.50432255296056,0.0,932.3344460793252,307.2,741.0,9216.0,112128.0,6.0,10.0,10.363067011450612,0.0,10.483933088505607,17193.270268997607,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,55.012788059581965,0.9236783228473672,54.37856235206485,389.9167692130979,3.973150791122216,737.5003087300672,8.808054762663335,58.763668495909336,0.0,20.841249671255206,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,31.090842186356973,Low,100.0,0.0,10.363067011450612,9.741282990763574,0.6217840206870378,0.0,0.6217840206870378,0.0,0.0,0.0,False,0,0.0,0
2010-12-14,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,16705.09435455432,16430.463267730694,274.6310868236267,434.856429911095,0.0,1012.131395553694,307.2,741.0,9216.0,112128.0,6.0,10.0,10.1926986019238,0.0,10.363067011450612,16910.613589555396,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,54.37856235206485,0.9236783228473672,53.48458094964419,389.9167692130979,3.973150791122216,737.5003087300673,8.808054762663335,59.844217860513055,0.0,18.854624332542638,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,30.65378461184021,Low,100.0,0.0,10.1926986019238,9.58113668580837,0.6115619161154289,0.0,0.6115619161154289,0.0,0.0,0.0,False,0,0.0,0
2010-12-15,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,16430.463267730694,16190.84206102316,239.6212067075332,379.4210760515475,0.0,977.1215154376004,307.2,741.0,9216.0,112128.0,6.0,10.0,10.044048700895384,0.0,10.1926986019238,16663.989890121888,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,53.48458094964419,0.9236783228473672,52.704564000726435,389.9167692130979,3.973150791122216,737.5003087300672,8.808054762663335,60.777292120530255,0.0,17.12125333494763,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,30.272442992369307,Low,100.0,0.0,10.044048700895384,9.441405778841661,0.6026429220537235,0.0,0.6026429220537235,0.0,0.0,0.0,False,0,0.0,0
2010-12-16,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,16190.84206102316,15863.31397043599,327.5280905871716,518.614617943106,0.0,1065.0283993172388,307.2,741.0,9216.0,112128.0,6.0,10.0,9.840865439619044,0.0,10.044048700895384,16326.890388458869,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,52.704564000726435,0.9236783228473672,51.638391830846324,389.9167692130979,3.973150791122216,737.5003087300672,8.808054762663335,62.065694248362796,0.0,14.751981846325155,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,29.75120326487236,Low,100.0,0.0,9.840865439619044,9.2504135132419,0.5904519263771437,0.0,0.5904519263771437,0.0,0.0,0.0,False,0,0.0,0
2010-12-17,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,15863.31397043599,15634.498673217002,228.8152972189868,362.3107799212719,0.0,966.315605949054,307.2,741.0,9216.0,112128.0,6.0,10.0,9.698919024471808,0.0,9.840865439619044,16091.388381510043,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,51.638391830846324,0.9236783228473672,50.89355036854493,389.9167692130979,3.973150791122216,737.5003087300672,8.808054762663335,62.95025537622808,0.0,13.096778596766507,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,29.38705854996946,Low,100.0,0.0,9.698919024471808,9.116983883003499,0.5819351414683087,0.0,0.5819351414683087,0.0,0.0,0.0,False,0,0.0,0
2010-12-18,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,15634.498673217002,15530.215325263784,104.28334795321784,165.12436707224023,0.0,841.7836566832851,307.2,741.0,9216.0,112128.0,6.0,10.0,9.634226464221586,0.0,9.698919024471808,15984.057542913086,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,50.89355036854493,0.9236783228473672,50.55408634525971,389.9167692130979,3.973150791122216,737.5003087300673,8.808054762663335,63.34542695204354,0.0,12.34241410057714,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,29.221098360807797,Low,100.0,0.0,9.634226464221586,9.05617287636829,0.5780535878532955,0.0,0.5780535878532955,0.0,0.0,0.0,False,0,0.0,0
2010-12-19,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,15530.215325263784,15347.301562078756,182.9137631850284,289.6293604639442,0.0,920.4140719150956,307.2,741.0,9216.0,112128.0,6.0,10.0,9.520755235327494,0.0,9.634226464221586,15795.798458611524,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,50.55408634525971,0.9236783228473672,49.958663939058454,389.9167692130979,3.973150791122216,737.5003087300672,8.808054762663335,64.06793912118609,0.0,11.019253197907664,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,28.930002962220513,Low,100.0,0.0,9.520755235327494,8.949509921207843,0.5712453141196505,0.0,0.5712453141196505,0.0,0.0,0.0,False,0,0.0,0
2010-12-20,30,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,ASSORTED COLOUR BIRD ORNAMENT,United Kingdom,Decor,WH-UK-01,SUP-UNI-DEC,B,Z,B-Z,True,False,False,True,False,True,False,15347.301562078756,15147.63736035717,199.66420172158587,316.152344390125,0.0,937.1645104516532,307.2,741.0,9216.0,112128.0,6.0,10.0,9.396892809991089,0.0,9.520755235327494,15590.299434757942,2481.4429905905376,5553.442990590538,0.0,5958.995988956786,6.443600702438449,49.958663939058454,0.9236783228473672,49.308715365746,389.9167692130979,3.973150791122216,737.5003087300673,8.808054762663335,64.8498203470071,0.0,9.574923034991103,100.0,61.79863093341662,0.0,Low,Low,Critical,High,Low,28.61225032637887,Low,100.0,0.0,9.396892809991089,8.833079241391623,0.5638135685994659,0.0,0.5638135685994659,0.0,0.0,0.0,False,0,0.0,0
