DecisionID,Domain,DecisionType,Entity,PriorityScore,ImpactScore,BusinessRiskScore,Confidence,ModelConfidence,BusinessConfidence,HistoricalAccuracy,RecommendationReliability,ExpectedROI,FinancialImpact,TimeSensitivity
DI-00001,Customer,Upsell Premium Products,Champions,75.46,100.0,14.4,100.0,100.0,100.0,100.0,100.0,1043.33,57612.12,This Week
DI-00002,Customer,Upsell Premium Products,Champions,61.73,71.14028200005217,12.19,100.0,100.0,100.0,100.0,100.0,1013.37,40985.42,This Month
DI-00003,Churn,Retain High Value Customer,13902,56.09,26.817311231500845,35.34,100.0,100.0,100.0,100.0,100.0,579.2,15450.02,This Month
DI-00004,Customer,Upsell Premium Products,Champions,54.67,56.291468164587656,11.05,100.0,100.0,100.0,100.0,100.0,987.34,32430.71,This Month
DI-00005,Churn,Retain High Value Customer,12482,48.77,18.16911350757268,28.98,100.0,100.0,100.0,100.0,100.0,511.93,10467.61,Monitor
DI-00006,Customer,Upsell Premium Products,Champions,48.63,43.567225623734664,10.08,100.0,100.0,100.0,100.0,100.0,952.85,25100.0,Monitor
DI-00007,Customer,Upsell Premium Products,Champions,45.81,37.64507820464226,9.62,100.0,100.0,100.0,100.0,100.0,930.17,21688.13,Monitor
DI-00008,Inventory,Reduce Overstock,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,44.75,17.327915549627562,36.07,85.52,78.68537442584928,97.67256706518276,78.68537442584928,85.52,565.75,9982.98,Monitor
DI-00009,Inventory,Supplier Escalation,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,44.53,16.712825018376513,36.07,85.49,78.68537442584928,97.59875620143264,78.68537442584928,85.49,454.65,9628.61,Monitor
DI-00010,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.31,0.8166796901041862,47.6,84.13,78.68537442584928,93.82119391839062,78.68537442584928,84.13,-54.82,470.51,Monitor
DI-00011,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.31,0.8166796901041862,47.6,84.13,78.68537442584928,93.82119391839062,78.68537442584928,84.13,-54.82,470.51,Monitor
DI-00012,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.31,0.8166796901041862,47.6,84.13,78.68537442584928,93.82119391839062,78.68537442584928,84.13,-54.82,470.51,Monitor
