CustomerID,Recency,Frequency,Monetary,Orders,Revenue,LastPurchase,FirstPurchase,R_score,F_score,M_score,RFM_Score,CustomerRank,CustomerTier
18102.0,1,89,349164.35,89,349164.35,2010-12-09 13:44:00,2009-12-01 09:24:00,4,4,4,444,1,Lower
14646.0,10,78,248396.5,78,248396.5,2010-11-30 16:28:00,2009-12-02 16:52:00,4,4,4,444,2,Lower
14156.0,7,102,196549.74,102,196549.74,2010-12-03 11:48:00,2009-12-01 12:30:00,4,4,4,444,3,Lower
14911.0,1,205,152121.22,205,152121.22,2010-12-09 12:17:00,2009-12-01 11:41:00,4,4,4,444,4,Lower
13694.0,9,94,131443.19,94,131443.19,2010-12-01 12:12:00,2009-12-04 15:26:00,4,4,4,444,5,Lower
17511.0,3,31,84541.17,31,84541.17,2010-12-07 09:51:00,2009-12-02 10:52:00,4,4,4,444,6,Lower
15061.0,3,86,83284.38,86,83284.38,2010-12-07 13:50:00,2009-12-01 12:18:00,4,4,4,444,7,Lower
16684.0,15,27,80489.21,27,80489.21,2010-11-25 11:04:00,2009-12-07 12:56:00,4,4,4,444,8,Lower
16754.0,8,29,65500.07,29,65500.07,2010-12-02 17:38:00,2010-03-08 11:32:00,4,4,4,444,9,Lower
17949.0,7,74,60117.6,74,60117.6,2010-12-03 13:12:00,2009-12-02 11:07:00,4,4,4,444,10,Lower
13089.0,4,109,57885.450000000004,109,57885.450000000004,2010-12-06 14:00:00,2009-12-02 15:44:00,4,4,4,444,11,Lower
15311.0,1,121,55942.74,121,55942.74,2010-12-09 14:15:00,2009-12-01 11:21:00,4,4,4,444,12,Lower
17450.0,3,7,52422.3,7,52422.3,2010-12-07 09:43:00,2010-09-27 16:59:00,4,4,4,444,13,Lower
17850.0,8,155,51208.87,155,51208.87,2010-12-02 15:27:00,2009-12-05 12:28:00,4,4,4,444,14,Lower
12931.0,16,42,50291.38,42,50291.38,2010-11-24 10:09:00,2009-12-01 11:46:00,4,4,4,444,15,Lower
13093.0,9,48,47111.18,48,47111.18,2010-12-01 15:00:00,2009-12-04 10:32:00,4,4,4,444,16,Lower
16029.0,8,47,41184.3,47,41184.3,2010-12-02 17:40:00,2009-12-08 11:23:00,4,4,4,444,17,Lower
15838.0,3,16,40519.92,16,40519.92,2010-12-07 11:26:00,2009-12-15 09:51:00,4,4,4,444,18,Lower
14298.0,11,38,39667.19,38,39667.19,2010-11-29 13:35:00,2009-12-11 13:49:00,4,4,4,444,19,Lower
13798.0,8,54,38683.02,54,38683.02,2010-12-02 17:24:00,2009-12-08 16:21:00,4,4,4,444,20,Lower
13902.0,268,5,34095.26,5,34095.26,2010-03-17 13:09:00,2009-12-15 10:02:00,1,3,4,134,21,Lower
15769.0,7,21,32451.6,21,32451.6,2010-12-03 15:16:00,2009-12-11 09:58:00,4,4,4,444,22,Lower
13081.0,7,19,30867.77,19,30867.77,2010-12-03 17:21:00,2009-12-08 13:58:00,4,4,4,444,23,Lower
13777.0,2,37,30501.260000000002,37,30501.260000000002,2010-12-08 15:35:00,2009-12-02 09:47:00,4,4,4,444,24,Lower
17841.0,1,91,29562.02,91,29562.02,2010-12-09 17:27:00,2009-12-02 15:41:00,4,4,4,444,25,Lower
16705.0,36,22,29480.061,22,29480.061,2010-11-04 14:46:00,2009-12-09 13:34:00,3,4,4,344,26,Lower
16422.0,5,59,28904.670000000002,59,28904.670000000002,2010-12-05 15:35:00,2010-01-12 11:57:00,4,4,4,444,27,Lower
14680.0,7,43,28615.27,43,28615.27,2010-12-03 12:05:00,2009-12-04 12:36:00,4,4,4,444,28,Lower
13881.0,11,23,28019.58,23,28019.58,2010-11-29 16:24:00,2010-03-04 14:41:00,4,4,4,444,29,Lower
17940.0,81,6,26286.75,6,26286.75,2010-09-20 15:33:00,2009-12-03 12:31:00,2,4,4,244,30,Lower
17389.0,10,27,25381.65,27,25381.65,2010-11-30 12:21:00,2009-12-04 12:06:00,4,4,4,444,31,Lower
12482.0,212,29,23691.4,29,23691.4,2010-05-12 16:51:00,2010-02-24 10:24:00,1,4,4,144,32,Lower
14031.0,1,27,23632.72,27,23632.72,2010-12-09 17:34:00,2009-12-03 15:35:00,4,4,4,444,33,Lower
13408.0,7,46,23616.422,46,23616.422,2010-12-03 09:39:00,2009-12-04 09:31:00,4,4,4,444,34,Lower
14063.0,74,9,22710.2,9,22710.2,2010-09-27 16:18:00,2009-12-08 13:46:00,2,4,4,244,35,Lower
16779.0,2,32,22554.22,32,22554.22,2010-12-08 09:56:00,2009-12-03 13:03:00,4,4,4,444,36,Lower
12748.0,1,144,22457.9,144,22457.9,2010-12-09 13:22:00,2009-12-04 17:31:00,4,4,4,444,37,Lower
18251.0,81,8,21964.14,8,21964.14,2010-09-20 13:26:00,2009-12-22 12:01:00,2,4,4,244,38,Lower
13802.0,10,16,21659.69,16,21659.69,2010-11-30 12:28:00,2010-02-16 10:11:00,4,4,4,444,39,Lower
12709.0,2,20,21107.94,20,21107.94,2010-12-08 09:49:00,2009-12-09 13:49:00,4,4,4,444,40,Lower
17677.0,2,28,20329.68,28,20329.68,2010-12-08 12:08:00,2009-12-16 11:23:00,4,4,4,444,41,Lower
17920.0,4,39,20137.24,39,20137.24,2010-12-06 16:58:00,2009-12-06 10:37:00,4,4,4,444,42,Lower
